job,source,dest,start,end,event
0,S1,Proc2,0.00,3.00,move
0,Proc2,Proc2,3.00,63.00,hold
0,Proc2,S1,63.00,66.00,move
1,S2,Pos,66.00,69.00,move
1,Pos,Pos,69.00,74.00,pos
2,Pos,Proc2,74.00,77.00,move
2,Proc2,Proc2,77.00,137.00,hold
2,Proc2,S1,137.00,140.00,move
1,S1,Pos,140.00,143.00,move
1,Pos,S2,143.00,146.00,move
2,S1,Pos,146.00,149.00,move
2,Pos,Pos,149.00,154.00,pos
3,Pos,Proc2,154.00,157.00,move
3,Proc2,Proc2,157.00,187.00,hold
3,Proc2,S2,187.00,190.00,move
2,S2,Pos,190.00,193.00,move
2,Pos,S1,193.00,196.00,move
3,S2,Proc1,196.00,199.00,move
3,Proc1,Proc1,199.00,239.00,hold
3,Proc1,S2,239.00,242.00,move
