Instance ID,exact,gnn,ls,gnnls
0,,,,
1,781.0,,,
2,712.0,,,
3,662.0,,,
4,746.0,,,
5,1379.0,,,
6,1188.0,,,
7,1653.0,,,
8,1959.0,,,
9,811.0,,,
10,1183.0,,,
11,859.0,,,
12,1564.0,,,
13,878.0,,,
14,1112.0,,,
15,1188.0,,,
16,903.0,,,
17,533.0,,,
18,1742.0,,,
19,1222.0,,,
20,1821.0,,,
21,1276.0,,,
22,1437.0,,,
23,875.0,,,
24,1643.0,,,
25,789.0,,,
26,853.0,,,
27,1560.0,,,
28,1204.0,,,
29,1323.0,,,
30,889.0,,,
31,1124.0,,,
32,1304.0,,,
33,1141.0,,,
34,1330.0,,,
35,1453.0,,,
36,1572.0,,,
37,725.0,,,
38,1560.0,,,
39,1590.0,,,
40,1553.0,,,
41,1909.0,,,
42,1675.0,,,
43,1268.0,,,
44,1730.0,,,
45,1214.0,,,
46,1415.0,,,
47,807.0,,,
48,1520.0,,,
49,1524.0,,,
